01001;66688;16445
01002;75063;28069
01003;35121;8491
01005;82442;4798
01007;85802;12962
01008;78391;1244
01009;66737;889
01010;80919;3340
01011;77443;1323
01012;74722;677
01013;46179;22907
01020;58516;29626
01022;60797;2124
01026;71505;1052
01027;66613;17452
01028;94891;14143
01029;97075;663
01030;81727;11702
01031;76417;1192
01032;79796;498
01034;78391;1910
01035;73973;4801
01036;95493;5089
01037;76417;627
01038;72430;2557
01039;78497;1291
01040;43615;39827
01050;70566;2380
01053;77611;1720
01054;86678;1656
01056;72027;21205
01057;78485;8474
01060;67478;15578
01062;82398;11283
01063;32047;393
01066;72430;71
01068;81314;1651
01069;65297;8789
01070;71505;573
01071;78391;1518
01072;86678;1503
01073;94452;5366
01074;82442;315
01075;76027;17179
01077;81585;8842
01079;66737;625
01080;59535;2208
01081;76367;1581
01082;60093;10125
01083;70156;2887
01084;74722;158
01085;68897;40392
01086;83650;323
01088;72430;622
01089;64226;27894
01092;70156;1215
01093;72440;340
01094;76417;340
01095;101878;13572
01096;78920;2143
01097;78391;113
01098;71505;1212
01103;25747;2731
01104;43969;22078
01105;27144;12816
01106;134662;15880
01107;33974;11615
01108;48866;26060
01109;44049;30683
01118;62546;14283
01119;52187;13170
01128;66605;3040
01129;66403;6982
01151;50951;8302
01199;58759;14
01201;57694;43838
01220;50308;8947
01222;68665;821
01223;71204;2287
01224;82491;197
01225;75267;3264
01226;70710;7099
01229;70740;129
01230;73996;8654
01235;73062;2597
01236;74247;1656
01237;87759;2426
01238;64187;6110
01240;74117;4787
01242;74264;254
01243;71505;360
01244;73592;136
01245;90383;989
01247;48295;16957
01253;97075;607
01254;103371;1070
01255;97075;824
01256;59862;701
01257;68665;2223
01258;80635;401
01259;73592;640
01260;67749;225
01262;70740;1357
01264;89918;160
01266;79025;1681
01267;104709;8683
01270;76919;761
01301;54338;18444
01330;81554;1512
01331;59949;12856
01337;68074;2649
01338;67203;184
01339;7755;181
01341;81554;1743
01342;77805;1140
01343;59862;73
01344;62158;1216
01347;64302;214
01349;63743;1116
01351;64302;2301
